id,name,math,probability,geometry,logic_puzzle,image_only,text_only,mixed_input,language,abstract
0,"Some Ones, Somewhere",0,0,1,1,1,0,0,0,1
1,Number Cross 5,1,0,0,1,0,0,1,0,0
2,"Sum One, Somewhere",1,1,0,0,0,0,1,0,0
3,Hall of Mirrors 3,1,0,1,1,0,0,1,0,0
4,Top Score (Give or Take),0,0,0,0,1,0,0,1,0
5,Somewhat Square Sudoku,1,0,0,1,0,0,1,0,0
6,Games Night!,0,0,0,0,1,0,0,0,1
7,Beside the Point,1,1,1,0,0,0,1,0,0
8,Knight Moves 6,1,0,0,0,0,0,1,0,0
9,Fences 2,0,0,1,1,0,0,1,0,0
10,Tree-edge Triage,1,1,0,0,0,0,1,0,0
11,Many Happy Returns,0,0,0,0,0,1,0,1,0
12,Altered States 2,0,0,0,0,0,0,1,1,0
13,Number Cross 4,1,0,0,1,0,0,1,0,0
14,Robot Capture-the-Flag,1,1,1,0,0,1,0,0,0
15,Hooks 10,1,0,1,1,0,0,1,0,0
16,Some Off Square,1,1,1,0,0,1,,0,0
17,Some F Squares,1,0,1,1,0,0,1,0,0
18,Hall of Mirrors 2,1,0,1,1,0,0,1,0,0
19,Knight Moves 5,1,0,0,0,0,0,1,0,0
20,A Weird Tour,0,0,0,0,0,1,0,1,0
21,Getting from a to b,1,0,0,1,0,0,1,0,0
22,Single-Cross 2,1,1,1,0,0,1,0,0,0
23,Choco Banana,1,0,1,1,0,0,1,0,0
24,Hooks 9,1,0,1,1,0,0,1,0,0
25,Game Night!,0,0,0,1,0,0,1,1,0
26,Arc-edge Acreage,1,1,1,0,0,0,1,0,0
27,Robot Long Jump,1,1,0,0,0,1,0,0,0
28,Twenty Four Seven (Four-in-One),1,0,0,1,0,0,1,0,0
29,Lesses More,1,0,1,0,0,0,1,0,0
30,Die Agony,1,0,1,1,0,0,1,0,0
31,'Pent-up' Frustration 2,1,0,1,0,0,0,1,0,0
32,The Marshy Mess,1,0,0,1,0,0,1,0,0
33,Pair Dance 2,0,0,0,1,0,1,0,1,0
34,New York Minute,0,0,0,1,0,0,1,1,0
35,Andy's Morning Stroll,1,1,0,1,0,0,1,0,0
36,Block Party 4,1,0,0,1,0,0,1,0,0
37,Robot Updated Swimming Trials,1,1,0,0,0,1,0,0,0
38,Almost Magic,1,0,0,1,0,0,1,0,0
39,The Hidden Warning,0,0,0,0,0,1,0,1,1
40,Eldrow,0,0,0,1,0,1,0,1,0
41,Hooks 8,1,0,1,1,0,0,1,0,0
42,Robot Archery,1,1,0,0,0,1,0,0,0
43,Split Division 2,1,0,0,0,0,0,1,0,0
44,Robot Swimming Trials,1,1,0,1,0,1,0,0,0
45,Knight Moves 4,1,0,0,0,0,0,1,0,0
46,Robot Tug-of-War,1,1,0,0,0,1,0,0,0
47,It's Symmetric 2,1,0,1,1,0,0,1,0,0
48,Robot Weightlifting,1,1,0,0,0,1,0,0,0
49,Past Tens,0,0,0,1,1,0,0,0,1
50,Bracketology 101,1,1,0,1,0,0,1,0,0
51,Tit for Tat,0,0,0,0,0,1,0,1,1
52,Hooks #7,1,0,1,1,0,0,1,0,0
53,Figurine Figuring,1,1,0,0,0,1,0,0,0
54,Twenty Four Seven 2-by-2 #2,1,0,0,1,0,0,1,0,0
55,Candy Collectors,1,1,0,0,0,1,0,0,0
56,Tangled!,1,0,0,1,0,1,0,1,0
57,Study and Ponder,0,0,0,,0,1,0,1,1
58,What a Trit!,1,0,0,0,0,1,0,0,0
59,Circle Time,1,0,1,0,0,0,1,0,0
60,Expelled,1,0,0,1,1,0,0,0,1
61,Triads,1,0,1,0,0,0,1,0,0
62,Single-Cross,1,1,1,0,0,1,0,0,0
63,Alter/Nate,0,0,0,1,0,1,0,0,0
