id,name,date,puzzleLink,puzzleText,hasImage,imagePaths,hasSolution,solutionLink,solutionText,solutionHasImages,solutionImagePaths,numSolvers,answer
0,Number Cross 5,May 2025,https://www.janestreet.com/puzzles/current-puzzle/,"(Update 5/5:We added a shaded square to the center of the 8th row. Sorry for any confusion!)
The 11-by-11 grid above is divided into several regions. Place positive digits (1-9) into the cells. Every cell within a region must contain the same digit, and orthogonally adjacent cells in different regions must have different digits.
After doing this, place sometilesinto the grid. Tiles are represented by blacking out a cell, and no two tiles are allowed to share a common edge. When a tile is placed on a cell, itdisplacesthe value (digit) in that cell. That means the orthogonally adjacent  cells, collectively, must be incremented by that displaced value. (For instance, in the example the rightmost tile displaces a 5. That displaced 5 results in increments of 1 for the cells below and to the left of the tile, and an increment of 3 for the cell above it.)
Digits may not be incremented any higher than 9. Incrementing digits may cause neighboring cells from different regions to contain the same value â this is fine. Some cells have been highlighted: these cells may not contain tiles and may not be altered by any of the increments.
And finally! Each row has been supplied with a clue.Everynumber formed by concatenating consecutive groups of un-tiled cells within a row must satisfy the clue given for the row. (As in the example.)  Numbers must be at leasttwo digits longandmay not repeatin the grid.
The answer to this monthâs puzzle is the sum of all the numbers formed in the completed grid. (As in the example.)
I would like to have my name added to the leaderboard.
Please note that only initial submissions will qualify. By pressing submit I understand my information will be used as described on this page and in thePrivacy Policyand theAd and Cookie Policy.
Please check back before the end of the month to to see if you've correctly solved this month's
                    puzzle.",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Number Cross 5/6_0.png,False,,,False,,46,
1,"Sum One, Somewhere",April 2025,https://www.janestreet.com/puzzles/sum-one-somewhere-index/,"For a fixedp, independently label the nodes of an infinite complete binary tree 0 with
probabilityp, and 1 otherwise. For whatpis there exactly a 1/2 probability that
there exists an infinite path down the tree that sums toat most 1(that is, all nodes
visited, with the possible exception of one, will be labeled 0). Find this value ofpaccurate to10 decimal places.",True,"/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Sum One, Somewhere/3_0.png",True,https://www.janestreet.com/puzzles/sum-one-somewhere-solution,"For a fixedp, let f(p) be the probability that the tree has an
infinite path of sum zero, and g(p) the probability that the tree has
an infinite path of sum at most 1. This monthâs problem is asking to
find thepsuch that g(p) = 1/2.
Using the decomposition of a binary tree into its root and its two subtrees, we see
f(p) =pÂ·(2f(p) - f(p)2)
which simplifies to
f(p) = 2 - 1/p.
Further, we see
g(p) =pÂ·(2g(p) - g(p)2) + (1-p)Â·(2f(p) - f(p)2).
Plugging in g(p) = 1/2 we end up with a cubic equation inp:
3p3- 10p2+ 12p- 4 = 0
with approximate solution0.5306035754â¦
Congrats to this monthâs solvers!",False,,1160,0.5306035754
2,Hall of Mirrors 3,March 2025,https://www.janestreet.com/puzzles/hall-of-mirrors-3-index/,"The perimeter of a 10-by-10 square field is surrounded by lasers pointing into the field. (Each laser begins half a unit from the edge of the field, as indicated by the â¢âs.)
Some of the lasers have numbers beside them. Place diagonal mirrors in some of the cells so that theproductof thesegment lengthsof a laserâs path matches the clue numbers. (For instance, the segments for the â75â path in the example puzzle have lengths 5, 3, 5.) Mirrors may not be placed in orthogonally adjacent cells.
Once finished, determine the missing clue numbers for the perimeter, and calculate the sum of these clues for each side of the square. The answer to this puzzle is theproductof thesefour sums.",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Hall of Mirrors 3/3_0.png,True,https://www.janestreet.com/puzzles/hall-of-mirrors-3-solution,"The unique placement of mirrors that satisfies all the provided clue numbers (in black) is shown above. Themissingclue numbers are in red. Clockwise from the top they sum to 480, 166, 3356, and 2251. This gives a product of601,931,086,080.
Congrats to this monthâs solvers!",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/solution_images/Hall of Mirrors 3/3_0.png,1394,601931086080
3,Top Score (Give or Take),February 2025,https://www.janestreet.com/puzzles/top-score-give-or-take-index/,[The answer to this puzzle is a proper noun.],True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Top Score (Give or Take)/3_0.jpg,True,https://www.janestreet.com/puzzles/top-score-give-or-take-solution,"For our February puzzle we gave almost no direction, just a strange
title, two word banks, some incomplete phrases with colored numbers,
and a clarification that the answer was a proper noun. And then you
had the shortest month of the year to solve it. So mean! Sorry about
that.
Looking for structure or patterns, a solver may notice that the two
word banks are both 14 words, and the colored numbers in the phrases
are red and blue pairs of 1, 2,â¦, 14. So perhaps each number
represents on of the word bank words, and top or bottom is color
coded?
The meanings of the words are quite scattered and sometimes esoteric,
so pruning that direction, the words can be considered bags of
letters. Staring for a while, and ruminating on the âGive or Takeâ
part of the title, anagramming and passing letters from top to bottom
can lead to break-in of noticing words like JURASSIC (from CUIRASS) or
MINORITY (from TRIONYM). A few more connections like this might remind
the solver of movies, and in fact the partial phrases on the right
side of the puzzle are those movie titles!
The word banks being alphabetized and the numbers not being in order
on the right means the order of the numbers is probably a special
meaning. Solving all of the movie title words out, the anagrammed Blue
and Red words, bank words (called Give from the top bank and Take
from the bottom bank), and passed letter for each number are:
These results are confirmed by the twelve movie titles:
FIDDLER on the ROOF
STAR WARS
CLOSE ENCOUNTERS of the THIRD KIND
The EMPIRE STRIKES BACK
RAIDERS of the LOST ARK
[Indiana Jones] and the LAST CRUSADE
HOME ALONE
JURASSIC PARK
SCHINDLERâS LIST
MINORITY REPORT
WAR of the WORLDS
MEMOIRS of a GEISHA
The passed letters spell outFILM COMPOSER J W, and in fact all twelve
of the movies have scores (of top quality!) composed byJohn Williams,
the proper noun answer to this puzzle! The jaws-droppingly prolific film
composer turned 93 this February 8th, thanks for all the memorable
themes!
That was a tough one,congrats to those of you who cracked the code!",False,,301,John Williams
4,Somewhat Square Sudoku,January 2025,https://www.janestreet.com/puzzles/somewhat-square-sudoku-index/,"Fill the empty cells in the grid above with digits such that each row, column, and outlined 3-by-3 box contains the same set of nine unique digits1, and such that the nine 9-digit numbers2formed by the rows of the grid has the highest-possible GCD overanysuch grid.
Some of the cells have already been filled in. The answer to this puzzle is the 9-digit number formed by the middle row in the completed grid.
that is, youâll be using nine of the ten digits (0-9) in completing this gridÂ↩
possibly with a leading 0Â↩",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Somewhat Square Sudoku/3_0.png,True,https://www.janestreet.com/puzzles/somewhat-square-sudoku-solution,"There are a few ways one could go about this monthâs puzzle. Many of you took a purely
code-based approach, and were able to find the board above.
But a number-theory approach also works. LetSbe the sum of the digits in the first
row, and letdbe the GCD of the 9-digit numbers formed by the nine rows. The sum of
these 9-digit numbers will be 111,111,111ÃS= 3Ã3Ã37Ã333,667ÃS, and sodmust be a
divisor of this value. (Furthermore, if a 9-digit integerNis a divisor of 999,999,999,
then any cyclic permutation ofNwill be as well1.)
We know our rows all contain 0, 2, and 5. One of them begins with a 0, so letâs look at
large divisors of 111,111,111 to see if mutliples of any of them are 8-digit numbers with
distinct positive digits and which contain a 2 and a 5. It turns out 37Ã333,667 =
12,345,679 is one such number. The only other 8-digit multiples of 12,345,679 with
distinct positive digits are 24,691,358, 49,382,716, and 61,728,395. This last value, when
cyclically shifted 8 times, is the one that can validly populate the sudoku grid. The
9-digit number formed by the unclued middle row is283,950,617, the answer to this
monthâs puzzle.
Congrats to the January solvers for finding the optimizing grid!
This works for any base and any number of digits. E.g. since 99,999 is a multiple of 271, any 5-digit multiple of 271 (such as 45,528) remains a multiple of 271 under cyclic permutation (55,284, 52,845, 28,455, and 84,552).Â↩",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/solution_images/Somewhat Square Sudoku/3_0.jpg,505,283950617
5,Games Night!,December 2024,https://www.janestreet.com/puzzles/games-night-index/,"Oh no! The elves in charge of board games only managed to complete a couple of sets
before they were distracted by playtesting the toys. Ho-ho-ho-w infuriating!
[The answer to this puzzle is a single word.]",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Games Night!/3_0.jpg,True,https://www.janestreet.com/puzzles/games-night-solution,"In December, you were presented with an image of a chaotic mess of
game pieces strewn across a table and some Christmas-y flavor text,
but no explicit direction about what to do (other than the hint that
the final answer is a single word).
Looking at the picture you might notice that the game pieces, when
grouped by the originating game, were arranged into letters (colored
above). When reordering the letters with the game boxes at the top of
the picture, the letters form âMISSING ONESââ¦ a decidedly TWO word
phraseâ¦ so what are these missing ones?
Studying the game pieces more carefully, many (but not all, as hinted
by the flavor text) of the games seem to be missing one piece (or type
of piece). Ordering these in the same way, we get:
Monopoly and Clue are the complete sets (Monopolyâs completeness is
happily confirmable by the eight game pieces printed on the side of
the box). Reading off the first letters of the missing ones, with
spaces for the complete sets, gives:
YOU SUNK MY
Ugh, another multi-word phrase! However this phrase is completed by
the answer to the puzzle,Battleship, to form the tagline of
another classic board game.
Congrats to the December solvers for finding the hidden message!",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/solution_images/Games Night!/3_0.jpg,1224,Battleship
6,Beside the Point,November 2024,https://www.janestreet.com/puzzles/beside-the-point-index/,"Two random points, one red and one blue, are chosen uniformly and independently from the interior of a square. To ten decimal places1, what is the probability that there exists a point on the side of the squareclosest to the blue pointthat is equidistant to both the blue point and the red point?
(Or, if you want to send in theexact answer, thatâs fine too!)Â↩",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Beside the Point/3_0.png,True,https://www.janestreet.com/puzzles/beside-the-point-solution,"For our November puzzle you had to compute the probability that two ordered points,
randomly uniformly selected from a square, would have an equidistant point on the edge
closest to the first point in the pair. Given the first point, without loss of generality
uniformly selected from a lower triangular octant of the square outlined in black above,
the second point would need to be in the blue-shaded symmetric difference of two circles
centered at the bottom vertices of the square that pass through the first point.
The precision requested for the answer meant an analytical solution likely would be
required. Below the diagram is an integral expressing the total area of these blue-shaded
regions, which comes to(1 + 2Ï - ln(4))/12, or approximately0.4914075788â¦
Congrats to the November solvers that computed the tricky probability!",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/solution_images/Beside the Point/3_0.png,620,0.4914075788
7,Knight Moves 6,October 2024,https://www.janestreet.com/puzzles/knight-moves-6-index/,"Pickdistinct positive integersA,B, andC, and place them in the grid above. Your goal is to create two corner-to-corner trips â one froma1tof6, and the other froma6tof1â both of which scoreexactly 2024 points.
A âtripâ consists of knightâs moves. Squares maynotbe revisited within a trip.
The âscoreâ for a trip is calculated as follows:
Can you find positive integersA,B, andC, as well as a pair of trips, that satisfy the criteria above? How low can you getA+B+C?
Please format your entry by concatenating your values forA,B, andC, followed by youra1-to-f6tour, followed by youra6-to-f1tour. For example, â1,2,253,a1,b3,c5,d3,f4,d5,f6,a6,c5,a4,b2,c4,d2,f1â would be a properly formatted entry.
To qualify for the leaderboard your value forA+B+Cmust beless than 50.",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Knight Moves 6/3_0.png,True,https://www.janestreet.com/puzzles/knight-moves-6-solution,"For this monthâs puzzle, solvers were tasked with picking three distinct positive integers that could support not one buttwocorner-to-corner knightâs journeys on a 6-by-6 board, eachscoringexactly 2024 points.
Nearly 40% of the entries we received managed to achieve a minimal sum ofA+B+C= 6. SinceCneeded to be a divisor of 2024, this meant there were only 4 plausible permutations:
Of the many entries we received, we would like to highlight a few:
Thelongest journeysâ for both thea1-to-f6leg and fora6-to-f1â came fromFred Vu, who chose (3, 1, 2) and supported it with the 32-movea1,c2,a3,b1,d2,f3,e1,d3,b2,a4,c5,a6,b4,a2,c1,b3,a5,c4,e5,c6,d4,b5,d6,f5,e3,d5,f4,e2,c3,d1,f2,e4,f6and the theoretically-maximal 34-movea6,c5,d3,e1,f3,e5,c6,a5,b3,a1,c2,a3,b1,d2,c4,b6,a4,b2,d1,f2,e4,f6,d5,f4,e6,d4,e2,c1,a2,c3,b5,d6,f5,e3,f1.
The journey with the largest number ofâmultiplyâ moves(16) came fromJustin Snopek, who also chose (3, 1, 2) and whosea6-to-f1path wenta6,c5,a4,c3,a2,c1,e2,f4,d5,b6,c4,e5,d3,f2,d1,e3,f5,d4,f3,d2,f1.
Of the many entries we received that achieved the theoretical lower bound of 12 total moves (6 for each journey), the lowest value forA+B+Cwe received was19. The first entry we received to accomplish this came fromShyam Padmanabhan, who picked (4, 7, 8) and supported it with the journeysa1,b3,d4,c6,b4,d5,f6anda6,b4,c6,d4,c2,e3,f1.
There were a handful of triples (A,B,C) that we received exactly once. The one with the lowest sum was (2, 1, 4), courtesy ofRichard Turner; its accompanying trips werea1,b3,d2,f1,e3,d5,f4,e2,c3,a2,b4,c2,e1,d3,f2,d1,b2,c4,d6,e4,f6anda6,c5,e4,f2,d1,c3,b5,a3,c2,d4,c6,b4,d5,f4,e2,c1,b3,d2,f1.
Of the nine plausible values forCâ i.e. divisors of 2024 no larger than 47 â the most popular among entries was 2, appearing in 335 entries. After that, the most popular were 4 (167 entries), 8 (153), 1 (126), 22 (99), 11 (84), 23 (17), 44 (4) and 46 (2). (46 was also the largest integer to occur in any entry, appearing in just those 2.)
And finally, the least positive integer to appear in exactly zero entries wasâ¦ 19.
Congrats to everyone who sent us a valid entry!
(4, 7, 8) and (1, 5, 2) were the most popular among those that did not achieve the minimal sum.Â↩",False,,1028,19
8,Fences 2,September 2024,https://www.janestreet.com/puzzles/fences-2-index/,"A field is divided into hexagonal cells of width 1. Some of the cells contain âpostsâ at
their center. Each post is represented in the field (grid) by a number. Construct one or
more fences emanating from each post, such that the total length of fence connected to a
post equals the number given. Fences are straight line segments with integer length and
can only intersect cell walls at right angles. Fences from different posts may not touch,
nor may a fence from one post touch a different post.
The goal of this puzzle is to build your fences in such a manner that it is possible to
draw aclosed loopthrough some of theremaining empty cells. The loop may only
make 120-degree turns, and it must visit each of the six colored regions. Finally, the
loop must besymmetricin some way (either via rotation or reflection).
As in the example, the loop must be rectilinear, passing through the centers of adjacent
empty cells.
Once you have completed the loop, determine the number of cells it visits in each of the
six colored regions. The answer to this monthâs puzzle is theproductof these six
values.",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Fences 2/3_0.png,True,https://www.janestreet.com/puzzles/fences-2-solution,"The configuration of posts that permits a symmetric loop, passing through all six colored regions and making only 120-degree turns, is shown above. The product of the number of cells visited by the loop in each of the six regions is404,320.
Congrats to those of you who solved this monthâs puzzle!",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/solution_images/Fences 2/3_0.png,359,404320
9,Tree-edge Triage,August 2024,https://www.janestreet.com/puzzles/tree-edge-triage-index/,"Aaron and Beren are playing a game on an infinite complete binary tree. At the beginning
of the game, every edge of the tree is independently labeledAwith probabilitypandBotherwise. Both players are able to inspect all of these labels1. Then,
starting with Aaron at the root of the tree, the players alternate turns moving a shared
token down the tree (each turn the active player selects from the two descendants of the
current node and moves the token along the edge to that node). If the token ever traverses
an edge labeledB, Beren wins the game. Otherwise2, Aaron wins.
An example game is in the picture above: after the labeling, Aaron chooses to go left to
avoid immediate defeat, but after Beren goes right Aaron is doomed to choose one of twoBpaths and Beren wins.
What is theinfimumof the set of
all probabilitiespfor which Aaron has a nonzero probability of winning the game? Give
your answer inexact terms.
â¦ somehow.Â↩
To make this precise, we can add the following step to the start of the game: after the edges are labeled and inspected, Beren is allowed to name any positive integerN. Aaron wins if the firstNedges traversed by the token are all labeledA, Beren wins if any of them are labeledB.Â↩",True,/content/drive/MyDrive/cse493g1/project/data/puzzles/puzzle_images/Tree-edge Triage/3_0.png,True,https://www.janestreet.com/puzzles/tree-edge-triage-solution,"Suppose for a givenp, Aaronâs probability of winning on the infinite tree isx. Then
looking at first two turns in the game, Aaron can win if at least one of the two sides of
the tree has 3 edges markedAand BOTH subtrees Beren can choose between are winnable by
Aaron (which we know has probabilityx, independently per subtree). So the equationxandpmust satisfy is:
x= 2 *p^3 *x^2 -p^6 *x^4.
(The subtracted term is from the double counting of when Aaron can win on both sides of
the tree).
We want to find the smallest positivepwhere this has a positive rootx< 1. This can
be done with the theory of discriminants, but also can be solved by noticing that aspincreases, the graph of the quartic that is the right hand side of the above equation
approaches the graph off(x)=xfrom below, and the moment where it touches it will
be tangent. So we can add the constraint that the derivative of the right hand side equals
1 at the point of equality:
1 = 2 *p^3 * (2x) -p^6 * 4x^3
These two equations are solved byx= 8/9, andp=(27/32)^(1/3). So the lowest
nonzero probability Aaron can have of winning the game is the surprisingly high 8/9 chance!
Congrats to those of you who worked out this tricky math puzzle!",False,,523,8/9
